food,image_url,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Oysters,https://rosannaetc.com/wp-content/uploads/2024/01/Serving-Fresh-Oysters-At-Home-15.jpg,102,3400,950,510,1100,5500,1200,11000,0,79,166,0.0264,0.04,0.014,0.018,0.18,1.9,0.45,0.06,0,0,1.7,0.002,116,9.2,5.7,35,0.59,194,139,0.04,79,Meat
Porterhouse steak,https://d21klxpge3tttg.cloudfront.net/wp-content/uploads/2021/03/Reverse-seared-porterhouse-poblano-crema.jpg,276,19000,7300,8700,690,0,0,24000,0,67,65,0,0.1,0.007,0.0022,0.23,4.2,0.31,0.37,0,0,0.18,0,7,2.9,0.13,22,0.02,193,299,0.02,4.6,Meat
Chorizo,https://upload.wikimedia.org/wikipedia/commons/2/25/Chorizos_P6021974.jpg,455,38000,14000,18000,3500,1900,0,24000,0,88,1235,0,0.63,0.002,0.002,0.3,5.1,1.1,0.53,0,0.0015,0.22,0.0016,8,1.6,0.08,18,0.04,150,398,0.021,3.4,Meat
Beef shank,https://onestophalal.com/cdn/shop/articles/beef_shank_banner-1686107331551_800x.jpg?v=1686107383,201,6400,2300,2900,210,0,0,34000,0,78,64,0,0.14,0.01,0.0038,0.21,5.9,0.41,0.37,0,0,0,0,32,3.9,0.17,30,0.02,263,447,0.03,10,Meat
Perch,https://wholeyseafood.com/wp-content/uploads/2020/07/wholey_seafood_white_perch_fillets.jpg,117,1200,240,200,470,0,0,25000,0,115,79,0.0096,0.08,0.006,0.0022,0.12,1.9,0.87,0.14,1.7,0,0,0,102,1.2,0.19,38,0.9,257,344,0.016,1.4,Meat
Smelt,https://blog.suvie.com/wp-content/uploads/2021/04/1620px-Smelt.jpg,124,3100,580,820,1100,0,0,23000,0,90,77,0.0174,0.01,0.005,0.004,0.15,1.8,0.74,0.17,0,0,0,0,77,1.2,0.18,38,0.9,295,372,0.047,2.1,Meat
Wolffish,https://img.freepik.com/premium-photo/fresh-raw-wolffish-o-wolf-fish-steak-butcher-board-dark-wooden-background-top-view_89816-30370.jpg,123,3100,470,1100,1100,0,0,22000,0,59,109,0.1299,0.21,0.006,0.0024,0.1,2.6,0.66,0.46,0,0,0,0,8,0.12,0.04,38,0.02,256,385,0.047,1,Meat
Mortadella,https://i.ytimg.com/vi/6njiho3U31c/maxresdefault.jpg,311,25000,9500,11000,3100,3100,0,16000,0,56,1246,0,0.12,0.003,0.0015,153,2.7,0.44,0.13,0,0.001,0.22,0.0016,18,1.4,0.06,11,0.03,97,163,0.023,2.1,Meat
Turkey wing,https://cdn4.volusion.store/etwvu-tkhop/v/vspfiles/photos/516-2.jpg?v-cache=1453624012,197,12000,3300,5000,2900,0,0,20000,0,70,55,0.0033,0.05,0.007,0.00039,0.11,4.4,0.55,0.41,0,0,0,0,14,1.3,0.08,21,0.02,165,240,0.022,1.5,Meat
Turkey leg,https://cdn11.bigcommerce.com/s-ul1e48c1/images/stencil/1280x1280/products/467/1551/Meat---Alberts-Smoked-Turkey-Drumstick__53403.1679574866.jpg?c=2,144,6700,2100,2100,1800,0,0,20000,0,71,74,0.0009,0.08,0.01,0.00039,0.21,2.9,1.1,0.34,0,0,0,0,17,1.7,0.14,21,0.02,177,273,0.026,3.1,Meat
Lamb,https://www.freshfarms.com/wp-content/uploads/2023/03/5-Reasons-to-Love-Lamb-Meat.jpg,294,21000,8800,8800,1500,0,0,25000,0,97,72,0,0.1,0.018,0.0026,0.25,6.7,0.66,0.13,0,0.0001,0.14,0.0046,17,1.9,0.12,23,0.02,188,310,0.026,4.5,Meat
Yellowtail,https://fasslergourmet.com/cdn/shop/products/YellowtailSashimi_1_300x300.jpg?v=1633945814,187,6700,0,0,0,0,0,30000,0,71,50,0.0312,0.18,0.004,0.0013,0.05,8.7,0.68,0.19,2.9,0,0,0,29,0.63,0.06,38,0.02,201,538,0.047,0.67,Meat
Rabbit Meat,https://gamekeepersmeat.com.au/cdn/shop/files/GK_Web_1800sq_110dpi_game_0006_Rabbit_1180-min.jpg?v=1694741429,173,3500,1100,950,680,0,0,33000,0,123,45,0,0.02,0.008,0.0065,0.07,6.4,0,0.34,0,0,0.41,0.0015,18,4.9,0.18,31,0,240,343,0.015,2.4,Meat
Bluefish,https://images.squarespace-cdn.com/content/v1/5c089f01f93fd410a92e642a/47e89417-4cae-4e6b-b40b-4a4170b1683f/DSCF2795.jpg,159,5400,1200,2300,1400,0,0,26000,0,76,77,0.1377,0.07,0.002,0.0062,0.1,7.2,0.96,0.46,0,0,0,0,9,0.62,0.07,42,0.03,291,477,0.047,1,Meat
Alaska pollock,https://i0.wp.com/fishingbooker.com/blog/media/Alaska-Pollock-Fillets.jpg?fit=1024%2C768&ssl=1,111,1200,160,130,580,0,0,23000,0,86,419,0.0153,0.05,0.003,0.0037,0.22,3.9,0.43,0.33,0,0.0013,0.28,0.0001,72,0.56,0.06,81,0.02,267,430,0.044,0.57,Meat
Ling fish,https://fisk.com.sg/wp-content/uploads/2020/10/Frozen-New-Zealand-Ling-Whole-Fillet-Skin-Off-Boneless-500g-Unpack.jpg,111,820,0,0,0,0,0,24000,0,51,173,0.0345,0.13,0.008,0.00065,0.23,2.8,0.37,0.35,0,0,0,0,44,0.83,0.14,81,0.04,254,486,0.047,1,Meat
Crayfish,https://mfeshop.com/cdn/shop/products/crawfishtailmeat1_1800x1800.jpg?v=1720025584,82,1200,180,240,370,0,0,17000,0,133,94,0.015,0.05,0.044,0.0022,0.09,2.3,0.58,0.08,0.9,0,1.5,0.0001,60,0.83,0.69,33,0.52,270,296,0.037,1.8,Meat
Scallop,https://freshcatch.ae/wp-content/uploads/2020/08/scallops1.jpg,111,840,220,80,220,5400,0,21000,0,41,667,0.0015,0.01,0.02,0.0022,0.02,1.1,0.37,0.11,0,0,0,0,10,0.58,0.03,37,0.03,426,314,0.022,1.6,Meat
Roe,https://bbq.pl/36-large_default/roe-deer-stew.jpg,204,8200,1900,2100,3400,1900,0,29000,0,479,117,0.0909,0.28,0.092,0.012,0.95,2.2,1.2,0.19,16,0,0,0,28,0.77,0.13,26,0.01,515,283,0.052,1.3,Meat
Lamb loin,https://www.lobels.com/images/thumbs/0001468_lamb-loin-chops_882.jpeg,309,24000,10000,9700,1900,0,0,23000,0,95,64,0,0.1,0.019,0.0022,0.24,7.1,0.65,0.11,0,0.0001,0.11,0.0047,18,2.1,0.12,23,0.02,180,246,0.025,3.4,Meat
Blue cheese,https://shop.annam-gourmet.com/pub/media/magefan_blog/blue_cheese_annam_gourmet.png,353,29000,19000,7800,800,2300,500,21000,0,75,1146,0.2163,0.03,0.036,0.0012,0.38,1,1.7,0.17,0,0.0005,0.25,0.0024,528,0.31,0.04,23,0.01,387,256,0.015,2.7,Dairy
Cream cheese,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Philly_cream_cheese.jpg/1200px-Philly_cream_cheese.jpg,350,34000,20000,8900,1500,5500,3800,6200,0,101,314,0.3333,0.02,0.009,0.00022,0.23,0.09,0.52,0.06,0,0,0.86,0.0021,97,0.11,0.02,9,0.01,107,132,0.0086,0.5,Dairy
Yolk,https://upload.wikimedia.org/wikipedia/commons/3/35/Raw_egg.jpg,322,27000,9600,12000,4200,3600,560,16000,0,1085,48,0.4326,0.18,0.146,0.002,0.53,0.02,3,0.35,0,0.0054,2.6,0.0007,129,2.7,0.08,5,0.06,390,109,0.056,2.3,Dairy
Monterey Jack,https://shop.burnettdairy.com/cdn/shop/files/a0e813c0ded860ffaa3875fd81c4736b.jpg?v=1743474232,373,30000,19000,8800,900,680,500,24000,0,89,600,0.2307,0.02,0.018,0.00083,0.39,0.09,0.21,0.08,0,0.0006,0.26,0.0025,746,0.72,0.03,27,0.01,444,81,0.015,3,Dairy
Sour cream,https://gcs.tripi.vn/public-tripi/tripi-feed/img/473892XSp/sour-cream-la-gi.jpg,181,14000,8700,4100,500,7000,300,7000,0,35,70,0.1308,0.04,0.011,0.0003,0.24,0.07,0,0.02,0.9,0.0003,0.4,0.0007,141,0.06,0.01,11,0,85,211,0.0041,0.27,Dairy
Cotija cheese,https://www.thespruceeats.com/thmb/kvu4tdEehLLcFbuHktgQZMnaj6I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/what-is-cotija-cheese-5112806-Hero_01-708fe4d4c1a44857910eacf107034cc7.jpg,366,30000,18000,8300,1200,4000,0,20000,0,100,1400,0.2595,0.03,0.01,0.0023,0.49,0.11,0,0.05,0,0.0005,0.25,0.0019,800,0,0.24,38,0,729,125,0.018,3.9,Dairy
Duck egg,https://www.stylecraze.com/wp-content/uploads/2021/11/Benefits-Of-Duck-Eggs-Nutrition-Side-Effects-And-Recipes-1_1200px.jpg.webp,185,14000,3700,6500,1200,1500,930,13000,0,884,146,0.2022,0.16,0.08,0.0054,0.4,0.2,1.9,0.25,0,0.0017,1.3,0.0004,64,3.9,0.06,17,0.04,220,222,0.036,1.4,Dairy
Milk,https://images.immediate.co.uk/production/volatile/sites/30/2020/02/Glass-and-bottle-of-milk-fe0997a.jpg,42,970,630,280,40,5000,5200,3400,0,5,44,0.0588,0.02,0.005,0.00047,0.19,0.09,0.36,0.04,0,0.0012,0.01,0.0001,125,0.03,0.01,11,0,95,150,0.0033,0.42,Dairy
Powdered milk,https://www.marthastewart.com/thmb/_n6b8N7i1enxW0vwrtztm-2GOfs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/what-is-powdered-milk-getty-0823-d48aaff493c64523b78b8c521eee16ff.jpg,496,27000,17000,7900,670,38000,38000,26000,0,97,371,0.2802,0.28,0.037,0.0033,1.2,0.65,2.3,0.3,8.6,0.0005,0.58,0.0022,912,0.47,0.08,85,0.04,776,1330,0.016,3.3,Dairy
Limburger,https://www.gfifoods.com/media/catalog/product/cache/608c797bf41e8874bcf75172f32fd01b/l/i/limburger-high_res_2016_20190717_0947401_xscqocvgvmqtc60v.jpg,327,27000,17000,8600,500,490,490,20000,0,90,800,0.3465,0.08,0.058,0.001,0.5,0.16,1.2,0.09,0,0.0005,0.23,0.0023,497,0.13,0.02,21,0.04,393,128,0.015,2.1,Dairy
Soft serve,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Soft_Ice_cream.jpg/250px-Soft_Ice_cream.jpg,222,13000,7500,3500,460,22000,21000,4100,700,91,61,0.1767,0.05,0.009,0.0005,0.18,0.1,0.51,0.05,0.8,0.0007,0.61,0.0009,131,0.21,0.03,12,0.01,116,177,0.003,0.52,Dairy
Cheese,https://www.huongnghiepaau.com/wp-content/uploads/2019/01/cheese-la-gi.jpg,404,33000,19000,9200,1400,3100,480,23000,0,99,653,0.3726,0.03,0.027,0.0011,0.43,0.06,0.41,0.07,0,0.0006,0.71,0.0024,710,0.14,0.03,27,0.03,455,76,0.029,3.6,Dairy
Omelette,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2021/12/How-to-Make-an-Omelette-17.jpg,154,12000,3300,4800,2700,640,310,11000,0,313,155,0.1851,0.03,0.039,0.00076,0.39,0.06,1.3,0.14,0,0.0017,1.3,0.0045,48,1.5,0.06,11,0.02,167,117,0.026,1.1,Dairy
