food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
chocolate,208,14000.0,8200.0,4600.0,400.0,24800.0,21100.0,1600.0,2300.0,0.0,1.0,200.0,0.0,0.094,0.069,0.0,0.026,0.3,0.019,0.091,0.0,0.0,0.1,0.074,9.8,1.1,46.3,60.3,118.9,0.6,53.6,sweet,213
twix mars,146,7200.0,5500.0,900.0,200.0,18800.0,14000.0,1400.0,300.0,2.0,64.0,1200.0,0.081,0.062,0.048,0.007,0.036,0.073,0.3,0.03,0.099,0.2,0.0,0.2,0.085,0.042,0.2,0.071,30.5,0.065,27.86,sweet,214
kit kat nestle,62,3300.0,2200.0,600.0,97.0,7600.0,6500.0,700.0,200.0,1.1,22.0,100.0,0.0,0.0,0.094,0.047,0.0,0.071,0.035,0.065,0.0,0.2,0.0,0.0,0.0,0.059,0.1,0.0,13.4,0.0,11.843,sweet,215
snickers mars,280,13600.0,5200.0,4500.0,1700.0,35100.0,28800.0,4300.0,1300.0,7.4,100.0,3200.0,0.2,0.009,0.015,0.089,0.078,0.092,2.1,0.3,0.077,0.3,0.0,0.9,0.015,0.2,0.4,0.2,108.3,0.0,54.826,sweet,216
milky way mars,264,10000.0,7000.0,1300.0,200.0,41300.0,34600.0,2300.0,600.0,5.2,21.0,3700.0,0.1,0.065,0.085,0.079,0.011,0.081,0.0,0.09,0.068,0.4,0.072,0.5,0.038,0.047,0.3,0.095,38.9,0.073,54.438,sweet,217
clif bar,235,4000.0,1000.0,700.0,1500.0,44500.0,21500.0,10000.0,5000.0,0.0,100.0,7500.0,0.0,0.4,0.076,0.055,0.3,3.0,1.5,0.4,60.0,0.0,0.2,0.089,250.2,4.5,100.0,199.9,280.2,3.0,378.2,sweet,218
gum drops,18,42.0,50.0,100.0,12.0,4400.0,3500.0,0.0,0.0,0.0,8.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.418,sweet,219
skittles wild berry mars,249,2600.0,2600.0,0.0,0.0,56300.0,47100.0,100.0,0.0,0.0,36.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6,sweet,220
skittles original mars,251,2700.0,2600.0,0.0,0.0,56300.0,47000.0,100.0,0.0,0.0,25.0,2400.0,0.0,0.0,0.0,0.0,0.033,0.037,0.016,0.097,41.4,0.0,0.1,0.036,0.0,0.0,0.6,0.6,7.4,0.03,100.5,sweet,221
skittles tropical mars,251,2700.0,0.0,0.0,0.0,56300.0,47000.0,100.0,0.0,0.0,95.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.7,sweet,222
fruit leather,52,400.0,25.0,200.0,50.0,12000.0,6900.0,29.0,0.0,0.0,0.0,1400.0,0.0,0.051,0.081,0.0,0.05,0.03,0.078,0.016,16.8,0.0,0.02,0.003,4.5,0.1,2.8,4.3,41.2,0.014,33.811,sweet,223
taffy,60,500.0,300.0,100.0,45.0,13700.0,10300.0,87.0,0.0,1.4,28.0,700.0,0.096,0.026,0.011,0.0,0.0,0.046,0.018,0.013,0.0,0.0,0.0,0.062,0.034,0.0,0.016,0.0,0.2,0.054,14.358,sweet,224
eisbonbons mac iver,23,0.0,0.0,5600.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sweet,225
caramels,39,800.0,300.0,200.0,400.0,7800.0,6600.0,500.0,0.0,0.7,15.0,900.0,0.021,0.005,0.061,0.03,0.04,0.094,0.092,0.088,0.024,0.0,0.002,0.014,13.9,0.049,1.7,11.5,21.6,0.057,23.208,sweet,226
hard candy,24,67.0,0.0,0.0,0.0,5900.0,3800.0,0.0,0.0,0.0,21.0,50.0,0.0,0.021,0.0,0.0,0.084,0.039,0.09,0.035,0.0,0.0,0.0,0.0,0.2,0.038,0.2,0.2,0.3,0.059,6.182,sweet,227
jellybeans,4,43.0,0.0,0.0,0.0,1000.0,800.0,0.0,83.0,0.0,76.0,51.0,0.0,0.04,0.0,0.0,0.017,0.099,0.098,0.09,0.0,0.0,0.0,0.0,0.08,0.029,0.055,0.027,0.4,0.032,1.216,sweet,228
jellies,56,69.0,33.0,59.0,71.0,14700.0,10800.0,5.0,200.0,0.0,16.0,6300.0,0.0,0.055,0.098,0.0,0.1,0.039,0.045,0.046,0.2,0.0,0.0,0.063,1.5,0.084,1.3,1.3,11.3,0.041,16.779,sweet,229
