food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
pineapple juice,133,300.0,71.0,27.0,100.0,32200.000000000004,25000.0,900.0,500.0,0.0,75.0,215900.0,0.0,0.0,0.1,0.004,0.0,0.064,0.5,0.1,0.3,109.5,0.0,0.048,0.062,0.2,0.8,1.3,20.0,0.099,34.477,drink,57
passion fruit juice yellow,126,100.0,8.0,20.0,94.0,33600.0,33100.0,1000.0,500.0,0.0,3.0,211500.0,0.0,0.0,0.1,0.0,0.3,3.6,0.0,0.1,73.6,0.0,0.036,0.09,9.9,0.6,42.0,32.1,686.7,0.1,119.3,drink,58
orange apricot juice,128,300.0,1.0,78.0,63.0,31800.0,30200.0,800.0,300.0,0.0,96.0,216800.0,0.0,0.022,0.094,0.0,0.021,0.5,0.2,0.08,50.0,0.0,0.3,0.054,12.5,0.3,12.5,20.0,200.0,0.1,96.0,drink,59
tangerine juice,106,500.0,82.0,15.0,54.0,24900.0,24500.0,1200.0,500.0,0.0,22.0,219600.0,0.0,0.0,0.1,0.086,0.0,0.094,0.2,0.3,0.1,76.6,0.0,0.3,0.0,0.06,0.5,0.031,34.6,0.016,27.29,drink,60
orange juice,90,400.0,79.0,46.0,37.0,20800.0,16800.0,1400.0,400.0,0.0,67.0,176600.0,0.0,0.0,0.2,0.002,0.0,0.01,0.8,0.4,0.052,100.0,0.0,0.013,0.053,0.06,0.4,0.056,34.0,0.067,23.177,drink,61
grapefruit juice,96,200.0,11.0,90.0,8.0,22700.0,0.0,1200.0,0.0,0.0,61.0,222300.0,0.0,0.0,0.06,0.038,0.0,0.01,0.5,0.5,0.1,93.9,0.0,0.0,0.0,0.004,0.5,0.037,37.1,0.0,24.254,drink,62
pineapple grapefruit juice,118,300.0,77.0,0.0,22.0,29000.0,28800.0,500.0,300.0,0.0,54.0,219800.0,0.0,0.042,0.047,0.0,0.07,0.7,0.1,0.1,115.0,0.0,0.001,0.046,17.5,0.8,15.0,15.0,152.5,0.2,163.4,drink,63
tamarind nectar,143,300.0,0.0,0.0,0.0,37000.0,31900.0,200.0,1300.0,0.0,46.0,213300.0,0.0,0.077,0.055,0.0,0.024,0.2,0.025,0.048,17.8,0.0,0.3,0.069,25.1,1.9,10.0,5.0,67.8,0.089,83.6,drink,64
apple juice,114,300.0,64.0,78.0,90.0,28000.0,23900.0,200.0,500.0,0.0,38.0,218800.0,0.0,0.0,0.083,0.0,0.0,0.019,0.2,0.1,0.025,2.2,0.0,0.057,0.0,0.065,0.3,0.2,17.4,0.039,29.087,drink,65
limeade,128,0.0,0.0,0.0,0.0,34100.0,32800.0,0.0,0.0,0.0,71.0,212600.0,0.0,0.047,0.058,0.0,0.034,0.05,0.006,0.051,7.7,0.0,0.0,0.0,4.9,0.0,4.9,2.5,24.7,0.024,46.7,drink,66
guava nectar,158,200.0,50.0,71.0,54.0,40800.0,32500.0,200.0,2500.0,0.0,63.0,209600.0,0.0,0.0,0.06,0.075,0.0,0.073,0.4,0.2,0.057,53.0,0.0,0.1,0.087,0.055,1.0,0.1,5.0,0.0,43.83,drink,67
