food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Cassava,160.0,280.0,70.0,80.0,50.0,38000.0,1700.0,1400.0,1800.0,0.0,14.0,0.0039,0.09,0.027,0.0,0.05,0.85,0.11,0.09,21.0,0.0,0.19,0.0019,16.0,0.27,0.1,21.0,0.38,27.0,271.0,0.0007,0.34,Vegetables
Cauliflower,25.0,280.0,130.0,30.0,30.0,5000.0,1900.0,1900.0,2000.0,0.0,30.0,0.0,0.05,0.057,0.0,0.06,0.51,0.67,0.18,48.0,0.0,0.08,0.016,22.0,0.42,0.04,15.0,0.16,44.0,299.0,0.0006,0.27,Vegetables
Celeriac,42.0,300.0,80.0,60.0,150.0,9200.0,1600.0,1500.0,1800.0,0.0,100.0,0.0,0.05,0.008,0.0,0.06,0.7,0.35,0.17,8.0,0.0,0.36,0.041,43.0,0.7,0.0699999999999999,20.0,0.16,115.0,300.0,0.0007,0.33,Vegetables
Celtuce,18.0,300.0,0.0,0.0,0.0,3700.0,0.0,850.0,1700.0,0.0,11.0,1.0499999999999998,0.06,0.046,0.0,0.0699999999999999,0.55,0.18,0.05,20.0,0.0,0.0,0.0,39.0,0.55,0.04,28.0,0.69,39.0,330.0,0.0009,0.27,Vegetables
Chayote,19.0,130.0,30.0,10.0,60.0,4500.0,1700.0,820.0,1700.0,0.0,2.0,0.0,0.03,0.093,0.0,0.03,0.47,0.25,0.08,7.7,0.0,0.12,0.0040999999999999,17.0,0.34,0.12,12.0,0.19,18.0,125.0,0.0001999999999999,0.74,Vegetables
Chicory,17.0,100.0,20.0,0.0,40.0,4000.0,0.0,900.0,3100.0,0.0,2.0,0.0087,0.06,0.037,0.0,0.03,0.16,0.15,0.04,2.8,0.0,0.0,0.0,19.0,0.24,0.05,10.0,0.1,26.0,211.0,0.0001999999999999,0.16,Vegetables
Corn,96.0,1500.0,200.0,370.0,600.0,21000.0,4500.0,3400.0,2400.0,0.0,1.0,0.0789,0.09,0.023,0.0,0.06,1.7,0.79,0.1399999999999999,5.5,0.0,0.09,0.0003999999999999,3.0,0.45,0.05,26.0,0.17,77.0,218.0,0.0001999999999999,0.62,Vegetables
Yardlong beans,47.0,100.0,30.0,10.0,40.0,9200.0,0.0,2500.0,0.0,0.0,4.0,0.1349999999999999,0.09,0.045,0.0,0.1,0.63,0.05,0.02,16.0,0.0,0.0,0.0,44.0,0.98,0.05,42.0,0.2,57.0,290.0,0.0015,0.36,Vegetables
Cucumber,15.0,110.0,40.0,10.0,30.0,3600.0,1700.0,650.0,500.0,0.0,2.0,0.0315,0.03,0.007,0.0,0.03,0.1,0.2599999999999999,0.04,2.8,0.0,0.03,0.016,16.0,0.2799999999999999,0.04,13.0,0.08,24.0,147.0,0.0003,0.2,Vegetables
Eggplant,25.0,180.0,30.0,20.0,80.0,5900.0,3500.0,980.0,3000.0,0.0,2.0,0.0068999999999999,0.04,0.022,0.0,0.04,0.65,0.2799999999999999,0.08,2.2,0.0,0.3,0.0035,9.0,0.23,0.08,14.0,0.23,24.0,229.0,0.0003,0.16,Vegetables
Edamame,121.0,5200.0,620.0,1300.0,2200.0,8900.0,2200.0,12000.0,5200.0,0.0,6.0,0.0894,0.2,0.311,0.0,0.16,0.92,0.4,0.1,6.1000000000000005,0.0,0.68,0.027,63.0,2.3,0.35,64.0,1.0,169.0,436.0,0.0007999999999999,1.4,Vegetables
Endive,17.0,200.0,50.0,0.0,90.0,3400.0,250.0,1300.0,3100.0,0.0,22.0,0.6500999999999999,0.08,0.142,0.0,0.08,0.4,0.9,0.02,6.5,0.0,0.44,0.231,52.0,0.83,0.1,15.0,0.42,28.0,314.0,0.0001999999999999,0.79,Vegetables
Garlic,149.0,500.0,90.0,10.0,250.0,33000.0,1000.0,6400.0,2100.0,0.0,17.0,0.0026999999999999,0.2,0.003,0.0,0.11,0.7,0.6,1.2,31.0,0.0,0.08,0.0017,181.0,1.7,0.3,25.0,1.7,153.0,401.0,0.014,1.2,Vegetables
Ginger,80.0,750.0,200.0,150.0,150.0,18000.0,1700.0,1800.0,2000.0,0.0,13.0,0.0,0.03,0.011,0.0,0.03,0.75,0.2,0.16,5.0,0.0,0.2599999999999999,0.0001,16.0,0.6,0.23,43.0,0.23,34.0,415.0,0.0007,0.34,Vegetables
Jerusalem artichoke,73.0,10.0,0.0,0.0,0.0,17000.0,9600.0,2000.0,1600.0,0.0,4.0,0.0059999999999999,0.2,0.013,0.0,0.06,1.3,0.4,0.08,4.0,0.0,0.19,0.0001,14.0,3.4,0.1399999999999999,17.0,0.06,78.0,429.0,0.0007,0.12,Vegetables
