food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Shrimp,119.0,1700.0,520.0,360.0,590.0,1500.0,0.0,23000.0,0.0,211.0,947.0,0.0902999999999999,0.03,0.024,0.0017,0.02,2.7,0.5199999999999999,0.24,0.0,0.0001,2.2,0.0003999999999999,91.0,0.32,0.2599999999999999,37.0,0.05,306.0,170.0,0.05,1.6,Meat
Abalone,189.0,6800.0,1600.0,2700.0,1700.0,11000.0,0.0,20000.0,0.0,94.0,591.0,0.0014999999999999,0.22,0.014,0.00069,0.1299999999999999,1.9,2.9,0.15,1.8,0.0,0.0,0.0,37.0,3.8,0.23,56.0,0.0699999999999999,217.0,284.0,0.052,0.95,Meat
Clam,148.0,2000.0,190.0,170.0,550.0,5100.0,0.0,26000.0,0.0,67.0,1202.0,0.1709999999999999,0.15,0.029,0.0989999999999999,0.43,3.4,0.68,0.11,22.0,0.0,0.0,0.0,92.0,2.8,0.69,18.0,1.0,338.0,628.0,0.064,2.7,Meat
Cuttlefish,79.0,700.0,120.0,80.0,130.0,820.0,0.0,16000.0,0.0,112.0,372.0,0.1124999999999999,0.01,0.016,0.003,0.91,1.2,0.5,0.15,5.3,0.0,0.0,0.0,90.0,6.0,0.5900000000000001,30.0,0.11,387.0,354.0,0.045,1.7,Meat
Mussels,172.0,4500.0,850.0,1000.0,1200.0,7400.0,0.0,24000.0,0.0,56.0,369.0,0.0911999999999999,0.3,0.076,0.024,0.42,3.0,0.95,0.1,14.0,0.0,0.0,0.0,33.0,6.7,0.15,37.0,6.8,285.0,268.0,0.09,2.7,Meat
Oysters,102.0,3400.0,950.0,510.0,1100.0,5500.0,1200.0,11000.0,0.0,79.0,166.0,0.0263999999999999,0.04,0.014,0.018,0.18,1.9,0.45,0.06,0.0,0.0,1.7,0.002,116.0,9.2,5.7,35.0,0.5900000000000001,194.0,139.0,0.04,79.0,Meat
Whelk,275.0,800.0,60.0,60.0,50.0,16000.0,0.0,48000.0,0.0,130.0,412.0,0.0486,0.05,0.011,0.018,0.21,2.0,0.4,0.65,6.8,0.0,0.0,0.0,113.0,10.0,2.1,172.0,0.8899999999999999,282.0,694.0,0.09,3.3,Meat
Bass,124.0,3000.0,650.0,850.0,1000.0,0.0,0.0,23000.0,0.0,103.0,88.0,0.0312,0.12,0.01,0.0044,0.04,2.6,0.87,0.35,0.0,0.0,0.0,0.0,19.0,1.1,0.04,51.0,0.02,254.0,328.0,0.047,0.51,Meat
Bluefish,159.0,5400.0,1200.0,2300.0,1400.0,0.0,0.0,26000.0,0.0,76.0,77.0,0.1377,0.0699999999999999,0.002,0.0062,0.1,7.2,0.96,0.46,0.0,0.0,0.0,0.0,9.0,0.62,0.0699999999999999,42.0,0.03,291.0,477.0,0.047,1.0,Meat
Burbot,115.0,1000.0,210.0,170.0,380.0,0.0,0.0,25000.0,0.0,77.0,124.0,0.0050999999999999,0.43,0.001,0.00092,0.17,2.0,0.17,0.35,0.0,0.0,0.0,0.0,64.0,1.2,0.2599999999999999,41.0,0.9,256.0,518.0,0.016,0.97,Meat
Butterfish,187.0,10000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,83.0,114.0,0.0327,0.15,0.017,0.0018,0.19,5.8,0.87,0.35,0.0,0.0,0.0,0.0,28.0,0.64,0.0699999999999999,32.0,0.02,308.0,481.0,0.047,0.99,Meat
Mahimahi,109.0,900.0,240.0,160.0,210.0,0.0,0.0,24000.0,0.0,94.0,113.0,0.0624,0.02,0.006,0.00069,0.09,7.4,0.87,0.46,0.0,0.0,0.0,0.0,19.0,1.5,0.05,38.0,0.02,183.0,533.0,0.047,0.5900000000000001,Meat
Drum fish,153.0,6300.0,1400.0,2800.0,1500.0,0.0,0.0,22000.0,0.0,82.0,96.0,0.0588,0.08,0.017,0.0023,0.21,2.9,0.87,0.35,1.0,0.0,0.0,0.0,77.0,1.2,0.3,38.0,0.9,231.0,353.0,0.016,0.85,Meat
Halibut,239.0,18000.0,3100.0,11000.0,1800.0,0.0,0.0,18000.0,0.0,59.0,103.0,0.018,0.0699999999999999,0.001,0.0009599999999999,0.1,1.9,0.29,0.49,0.0,0.0,0.0,0.0,4.0,0.85,0.04,33.0,0.02,210.0,344.0,0.047,0.51,Meat
Ling fish,111.0,820.0,0.0,0.0,0.0,0.0,0.0,24000.0,0.0,51.0,173.0,0.0344999999999999,0.1299999999999999,0.008,0.00065,0.23,2.8,0.37,0.35,0.0,0.0,0.0,0.0,44.0,0.83,0.1399999999999999,81.0,0.04,254.0,486.0,0.047,1.0,Meat
Lingcod,109.0,1400.0,260.0,450.0,380.0,0.0,0.0,23000.0,0.0,67.0,76.0,0.0174,0.04,0.01,0.0042,0.1399999999999999,2.3,0.87,0.35,0.0,0.0,0.0,0.0,18.0,0.41,0.04,33.0,0.03,258.0,560.0,0.047,0.58,Meat
Milkfish,190.0,8600.0,0.0,0.0,0.0,0.0,0.0,26000.0,0.0,67.0,92.0,0.0327,0.02,0.018,0.0033,0.0699999999999999,8.3,0.87,0.49,0.0,0.0,0.0,0.0,65.0,0.41,0.04,38.0,0.03,208.0,374.0,0.016,1.1,Meat
Monkfish,97.0,2000.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,32.0,23.0,0.0137999999999999,0.03,0.008,0.001,0.0699999999999999,2.6,0.17,0.2799999999999999,1.0,0.0,0.0,0.0,10.0,0.41,0.04,27.0,0.03,256.0,513.0,0.047,0.53,Meat
Pacific saury,119.0,1600.0,320.0,380.0,570.0,0.0,0.0,25000.0,0.0,110.0,65.0,0.0243,0.31,0.017,0.0023,0.2,2.8,0.87,0.1399999999999999,0.0,0.0,0.0,0.0,141.0,1.7,0.23,38.0,1.0,269.0,499.0,0.016,0.79,Meat
Roe,204.0,8200.0,1900.0,2100.0,3400.0,1900.0,0.0,29000.0,0.0,479.0,117.0,0.0909,0.2799999999999999,0.092,0.012,0.95,2.2,1.2,0.19,16.0,0.0,0.0,0.0,28.0,0.7699999999999999,0.1299999999999999,26.0,0.01,515.0,283.0,0.052,1.3,Meat
Sablefish,250.0,20000.0,4100.0,10000.0,2600.0,0.0,0.0,17000.0,0.0,63.0,72.0,0.1013999999999999,0.12,0.017,0.0014,0.12,5.1000000000000005,0.87,0.35,0.0,0.0,0.0,0.0,45.0,1.6,0.03,71.0,0.02,215.0,459.0,0.047,0.41,Meat
Chinook salmon,231.0,13000.0,3200.0,5700.0,2700.0,0.0,0.0,26000.0,0.0,85.0,60.0,0.1488,0.04,0.0349999999999999,0.0029,0.15,10.0,0.87,0.46,4.1000000000000005,0.0,0.0,0.0,28.0,0.91,0.05,122.0,0.02,371.0,505.0,0.047,0.5599999999999999,Meat
Scup,135.0,3500.0,0.0,0.0,0.0,0.0,0.0,24000.0,0.0,67.0,54.0,0.0312,0.1299999999999999,0.017,0.0015999999999999,0.12,5.0,0.87,0.35,0.0,0.0,0.0,0.0,51.0,0.68,0.0699999999999999,29.0,0.05,237.0,368.0,0.047,0.62,Meat
Seatrout,133.0,4600.0,1300.0,1100.0,930.0,0.0,0.0,21000.0,0.0,106.0,74.0,0.0344999999999999,0.0699999999999999,0.006,0.0035,0.21,2.9,0.87,0.46,0.0,0.0,0.0,0.0,22.0,0.35,0.04,40.0,0.02,321.0,437.0,0.047,0.58,Meat
Shad,252.0,18000.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,96.0,65.0,0.036,0.18,0.017,0.00014,0.31,11.0,0.87,0.46,0.0,0.0,0.0,0.0,60.0,1.2,0.08,38.0,0.05,349.0,492.0,0.047,0.47,Meat
Sucker fish,119.0,3000.0,580.0,910.0,1000.0,0.0,0.0,21000.0,0.0,53.0,51.0,0.0588,0.01,0.017,0.0023,0.09,1.5,0.87,0.23,0.0,0.0,0.0,0.0,90.0,1.7,0.25,38.0,0.7699999999999999,269.0,487.0,0.016,0.96,Meat
Sunfish,114.0,900.0,180.0,150.0,320.0,0.0,0.0,25000.0,0.0,86.0,103.0,0.0174,0.09,0.017,0.0023,0.09,1.5,0.87,0.1399999999999999,1.0,0.0,0.0,0.0,103.0,1.5,0.39,38.0,0.9,231.0,449.0,0.016,2.0,Meat
Skipjack tuna,132.0,1300.0,420.0,240.0,400.0,0.0,0.0,28000.0,0.0,60.0,47.0,0.018,0.04,0.01,0.0022,0.12,19.0,0.49,0.98,1.0,0.0,0.0,0.0,37.0,1.6,0.11,44.0,0.02,285.0,522.0,0.047,1.1,Meat
Tuna,130.0,590.0,210.0,140.0,180.0,0.0,0.0,29000.0,0.0,47.0,54.0,0.0195,0.1299999999999999,0.002,0.0024,0.1399999999999999,22.0,0.33,1.0,0.0,0.002,0.29,0.0001,4.0,0.92,0.04,42.0,0.01,333.0,527.0,0.108,0.45,Meat
Turbot,122.0,3800.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,62.0,192.0,0.0119999999999999,0.08,0.009,0.0025,0.1,2.7,0.66,0.24,1.7,0.0,0.0,0.0,23.0,0.46,0.05,65.0,0.02,165.0,305.0,0.047,0.2799999999999999,Meat
Whitefish,172.0,7500.0,1200.0,2600.0,2800.0,0.0,0.0,24000.0,0.0,77.0,65.0,0.0392999999999999,0.17,0.017,0.0009599999999999,0.15,3.8,0.87,0.35,0.0,0.0,0.0,0.0,33.0,0.47,0.09,42.0,0.09,346.0,406.0,0.016,1.3,Meat
Wolffish,123.0,3100.0,470.0,1100.0,1100.0,0.0,0.0,22000.0,0.0,59.0,109.0,0.1299,0.21,0.006,0.0024,0.1,2.6,0.66,0.46,0.0,0.0,0.0,0.0,8.0,0.12,0.04,38.0,0.02,256.0,385.0,0.047,1.0,Meat
Yellowtail,187.0,6700.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,71.0,50.0,0.0312,0.18,0.004,0.0013,0.05,8.7,0.68,0.19,2.9,0.0,0.0,0.0,29.0,0.63,0.06,38.0,0.02,201.0,538.0,0.047,0.67,Meat
Squid,158.0,1400.0,240.0,160.0,270.0,1600.0,0.0,32000.0,0.0,224.0,744.0,0.2024999999999999,0.02,0.024,0.0054,1.7,2.2,0.9,0.27,8.5,0.0,0.0,0.0,180.0,11.0,1.0,60.0,0.21,580.0,637.0,0.09,3.5,Meat
Octopus,164.0,2100.0,450.0,320.0,480.0,4400.0,0.0,30000.0,0.0,96.0,460.0,0.09,0.06,0.024,0.036,0.08,3.8,0.9,0.65,8.0,0.0,1.2,0.0001,106.0,9.5,0.74,60.0,0.05,279.0,630.0,0.09,3.4,Meat
Orange roughy,105.0,900.0,30.0,440.0,180.0,0.0,0.0,23000.0,0.0,80.0,69.0,0.0239999999999999,0.05,0.005,0.00047,0.06,1.8,0.06,0.0699999999999999,0.0,0.0,1.9,0.0011,11.0,1.1,0.08,18.0,0.04,102.0,181.0,0.088,0.32,Meat
Catfish,144.0,7200.0,1600.0,3100.0,1400.0,0.0,0.0,18000.0,0.0,66.0,119.0,0.0006,0.02,0.012,0.0028,0.1,2.5,0.8099999999999999,0.18,0.0,0.0003,0.97,0.0025,9.0,0.2799999999999999,0.04,23.0,0.02,247.0,366.0,0.0099,0.58,Meat
Salmon,206.0,12000.0,2400.0,4200.0,4600.0,0.0,0.0,22000.0,0.0,63.0,61.0,0.0689999999999999,0.34,0.034,0.0028,0.1399999999999999,8.0,1.5,0.65,3.7,0.013,1.1,0.0001,15.0,0.34,0.05,30.0,0.02,252.0,384.0,0.041,0.43,Meat
Trout,168.0,7400.0,1700.0,2400.0,1800.0,0.0,0.0,24000.0,0.0,70.0,61.0,0.0902999999999999,0.1399999999999999,0.012,0.0040999999999999,0.11,6.6,2.0,0.39,2.9,0.019,2.8,0.0001,30.0,0.36,0.06,30.0,0.01,270.0,450.0,0.028,0.54,Meat
Tilapia,128.0,2700.0,940.0,960.0,600.0,0.0,0.0,26000.0,0.0,57.0,56.0,0.0,0.09,0.006,0.0019,0.0699999999999999,4.7,0.66,0.12,0.0,0.0037,0.79,0.0009,14.0,0.69,0.08,34.0,0.04,204.0,380.0,0.054,0.41,Meat
Cockles,79.0,700.0,0.0,0.0,0.0,4700.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Meat
Devilfish,97.0,5300.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.306,0.09,0.0,0.0,0.1,1.1,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Meat
Pike,156.0,8000.0,0.0,0.0,0.0,4300.0,0.0,17000.0,0.0,0.0,0.0,0.2579999999999999,0.1,0.0,0.0,0.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.1,0.0,0.0,0.0,412.0,0.0,0.0,0.0,Meat
Sea cucumber,56.0,400.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0929999999999999,0.05,0.0,0.0,0.94,3.2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Meat
Steelhead trout,159.0,8300.0,1500.0,2200.0,1200.0,0.0,0.0,21000.0,0.0,59.0,118.0,0.0195,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.015,2.2,0.0,30.0,0.64,0.06,25.0,0.01,249.0,365.0,0.026,0.57,Meat
Scallop,111.0,840.0,220.0,80.0,220.0,5400.0,0.0,21000.0,0.0,41.0,667.0,0.0014999999999999,0.01,0.02,0.0022,0.02,1.1,0.37,0.11,0.0,0.0,0.0,0.0,10.0,0.58,0.03,37.0,0.03,426.0,314.0,0.022,1.6,Meat
Blue cheese,353.0,29000.0,19000.0,7800.0,800.0,2300.0,500.0,21000.0,0.0,75.0,1146.0,0.2163,0.03,0.036,0.0012,0.38,1.0,1.7,0.17,0.0,0.0005,0.25,0.0024,528.0,0.31,0.04,23.0,0.01,387.0,256.0,0.015,2.7,Dairy
Brie,334.0,28000.0,17000.0,8000.0,830.0,450.0,450.0,21000.0,0.0,100.0,629.0,0.1775999999999999,0.0699999999999999,0.0649999999999999,0.0017,0.5199999999999999,0.38,0.69,0.24,0.0,0.0005,0.24,0.0023,184.0,0.5,0.02,20.0,0.03,188.0,152.0,0.015,2.4,Dairy
Camembert,300.0,24000.0,15000.0,7000.0,720.0,460.0,460.0,20000.0,0.0,72.0,842.0,0.2459999999999999,0.03,0.062,0.0013,0.49,0.63,1.4,0.23,0.0,0.0003999999999999,0.21,0.002,388.0,0.33,0.02,20.0,0.04,347.0,187.0,0.015,2.4,Dairy
Cheese,404.0,33000.0,19000.0,9200.0,1400.0,3100.0,480.0,23000.0,0.0,99.0,653.0,0.3726,0.03,0.027,0.0011,0.43,0.06,0.41,0.0699999999999999,0.0,0.0006,0.71,0.0024,710.0,0.1399999999999999,0.03,27.0,0.03,455.0,76.0,0.029,3.6,Dairy
Cottage cheese,98.0,4300.0,1700.0,780.0,120.0,3400.0,2700.0,11000.0,0.0,17.0,364.0,0.0419999999999999,0.03,0.012,0.00043,0.16,0.1,0.5599999999999999,0.05,0.0,0.0001,0.08,0.0,83.0,0.0699999999999999,0.03,8.0,0.0,159.0,104.0,0.0097,0.4,Dairy
Cream cheese,350.0,34000.0,20000.0,8900.0,1500.0,5500.0,3800.0,6200.0,0.0,101.0,314.0,0.3333,0.02,0.009,0.00022,0.23,0.09,0.5199999999999999,0.06,0.0,0.0,0.86,0.0021,97.0,0.11,0.02,9.0,0.01,107.0,132.0,0.0086,0.5,Dairy
Edam,357.0,28000.0,18000.0,8100.0,670.0,1400.0,1400.0,25000.0,0.0,89.0,812.0,0.2474999999999999,0.04,0.016,0.0015,0.39,0.08,0.2799999999999999,0.08,0.0,0.0005,0.24,0.0023,731.0,0.44,0.04,30.0,0.01,536.0,188.0,0.015,3.8,Dairy
Feta,264.0,21000.0,15000.0,4600.0,590.0,4100.0,4100.0,14000.0,0.0,89.0,917.0,0.1266,0.15,0.032,0.0017,0.8400000000000001,0.99,0.97,0.42,0.0,0.0003999999999999,0.18,0.0018,493.0,0.65,0.03,19.0,0.03,337.0,62.0,0.015,2.9,Dairy
Fontina,389.0,31000.0,19000.0,8700.0,1700.0,1600.0,1600.0,26000.0,0.0,116.0,800.0,0.2739,0.02,0.006,0.0017,0.2,0.15,0.43,0.08,0.0,0.0006,0.27,0.0026,550.0,0.23,0.03,14.0,0.01,346.0,64.0,0.015,3.5,Dairy
Brunost,466.0,30000.0,19000.0,7900.0,940.0,43000.0,0.0,9700.0,0.0,94.0,600.0,0.3339,0.32,0.005,0.0024,1.4,0.8099999999999999,3.4,0.27,0.0,0.0,0.0,0.0,400.0,0.5199999999999999,0.08,70.0,0.04,444.0,1409.0,0.015,1.1,Dairy
Gouda cheese,356.0,27000.0,18000.0,7700.0,660.0,2200.0,2200.0,25000.0,0.0,114.0,819.0,0.1689,0.03,0.0209999999999999,0.0015,0.33,0.06,0.34,0.08,0.0,0.0005,0.24,0.0023,700.0,0.24,0.04,29.0,0.01,546.0,121.0,0.015,3.9,Dairy
Gruyere cheese,413.0,32000.0,19000.0,10000.0,1700.0,360.0,360.0,30000.0,0.0,110.0,714.0,0.2844,0.06,0.01,0.0015999999999999,0.2799999999999999,0.11,0.5599999999999999,0.08,0.0,0.0006,0.2799999999999999,0.0027,1011.0,0.17,0.03,36.0,0.02,605.0,81.0,0.015,3.9,Dairy
Limburger,327.0,27000.0,17000.0,8600.0,500.0,490.0,490.0,20000.0,0.0,90.0,800.0,0.3465,0.08,0.058,0.001,0.5,0.16,1.2,0.09,0.0,0.0005,0.23,0.0023,497.0,0.1299999999999999,0.02,21.0,0.04,393.0,128.0,0.015,2.1,Dairy
Monterey Jack,373.0,30000.0,19000.0,8800.0,900.0,680.0,500.0,24000.0,0.0,89.0,600.0,0.2307,0.02,0.018,0.00083,0.39,0.09,0.21,0.08,0.0,0.0006,0.2599999999999999,0.0025,746.0,0.7200000000000001,0.03,27.0,0.01,444.0,81.0,0.015,3.0,Dairy
Muenster cheese,368.0,30000.0,19000.0,8700.0,660.0,1100.0,1100.0,23000.0,0.0,96.0,628.0,0.3036,0.01,0.012,0.0015,0.32,0.1,0.19,0.06,0.0,0.0006,0.2599999999999999,0.0025,717.0,0.41,0.03,27.0,0.01,468.0,134.0,0.015,2.8,Dairy
Neufchâtel cheese,253.0,23000.0,13000.0,5800.0,970.0,3600.0,3200.0,9200.0,0.0,74.0,334.0,0.2522999999999999,0.02,0.014,0.0003,0.16,0.21,0.58,0.04,0.0,0.0,0.4,0.0017,117.0,0.1299999999999999,0.03,10.0,0.01,138.0,152.0,0.003,0.82,Dairy
Port Salut,352.0,28000.0,17000.0,9300.0,730.0,570.0,570.0,24000.0,0.0,123.0,534.0,0.3275999999999999,0.01,0.018,0.0015,0.24,0.06,0.21,0.05,0.0,0.0005,0.24,0.0024,650.0,0.43,0.02,24.0,0.01,360.0,136.0,0.015,2.6,Dairy
Provolone,351.0,27000.0,17000.0,7400.0,770.0,2100.0,560.0,26000.0,0.0,69.0,876.0,0.2639999999999999,0.02,0.01,0.0015,0.32,0.16,0.48,0.0699999999999999,0.0,0.0005,0.23,0.0022,756.0,0.5199999999999999,0.03,28.0,0.01,496.0,138.0,0.015,3.2,Dairy
Ricotta,174.0,13000.0,8300.0,3600.0,390.0,3000.0,270.0,11000.0,0.0,51.0,84.0,0.1334999999999999,0.01,0.012,0.0003399999999999,0.2,0.1,0.21,0.04,0.0,0.0001999999999999,0.11,0.0011,207.0,0.38,0.02,11.0,0.01,158.0,105.0,0.015,1.2,Dairy
Romano cheese,387.0,27000.0,17000.0,7800.0,590.0,3600.0,730.0,32000.0,0.0,104.0,1433.0,0.1244999999999999,0.04,0.007,0.0011,0.37,0.08,0.42,0.09,0.0,0.0005,0.23,0.0022,1064.0,0.7699999999999999,0.03,41.0,0.02,760.0,86.0,0.015,2.6,Dairy
Roquefort,369.0,31000.0,19000.0,8500.0,1300.0,2000.0,0.0,22000.0,0.0,90.0,1809.0,0.3141,0.04,0.049,0.00064,0.5900000000000001,0.73,1.7,0.12,0.0,0.0,0.0,0.0,662.0,0.5599999999999999,0.03,30.0,0.03,392.0,91.0,0.015,2.1,Dairy
Swiss cheese,393.0,31000.0,18000.0,8000.0,1300.0,1400.0,0.0,27000.0,0.0,93.0,187.0,0.3141,0.01,0.01,0.0031,0.3,0.06,0.35,0.0699999999999999,0.0,0.0,0.6,0.0014,890.0,0.1299999999999999,0.05,33.0,0.03,574.0,72.0,0.03,4.4,Dairy
Tilsit cheese,340.0,26000.0,17000.0,7100.0,720.0,1900.0,0.0,24000.0,0.0,102.0,753.0,0.3134999999999999,0.06,0.02,0.0021,0.36,0.21,0.35,0.0699999999999999,0.0,0.0,0.0,0.0,700.0,0.23,0.03,13.0,0.01,500.0,65.0,0.015,3.5,Dairy
Whipped cream,257.0,22000.0,14000.0,6400.0,830.0,12000.0,8000.0,3200.0,0.0,76.0,8.0,0.2055,0.04,0.003,0.00029,0.0699999999999999,0.0699999999999999,0.31,0.04,0.0,0.0003999999999999,0.64,0.0019,101.0,0.05,0.01,11.0,0.0,89.0,147.0,0.0014,0.37,Dairy
Eggnog,88.0,4200.0,2600.0,1300.0,200.0,8100.0,8100.0,4600.0,0.0,59.0,54.0,0.0617999999999999,0.03,0.001,0.00045,0.19,0.11,0.42,0.05,1.5,0.0012,0.21,0.0003,130.0,0.2,0.01,19.0,0.01,109.0,165.0,0.0042,0.46,Dairy
Milk,42.0,970.0,630.0,280.0,40.0,5000.0,5200.0,3400.0,0.0,5.0,44.0,0.0588,0.02,0.005,0.00047,0.19,0.09,0.36,0.04,0.0,0.0012,0.01,0.0001,125.0,0.03,0.01,11.0,0.0,95.0,150.0,0.0033,0.42,Dairy
Buttermilk,40.0,880.0,550.0,250.0,30.0,4800.0,4800.0,3300.0,0.0,4.0,190.0,0.0140999999999999,0.03,0.005,0.00022,0.15,0.06,0.2799999999999999,0.03,1.0,0.0,0.05,0.0001,116.0,0.05,0.01,11.0,0.0,89.0,151.0,0.002,0.42,Dairy
Condensed milk,321.0,8700.0,5500.0,2400.0,340.0,54000.0,54000.0,7900.0,0.0,34.0,127.0,0.0800999999999999,0.09,0.011,0.00044,0.42,0.21,0.75,0.05,2.6,0.0001999999999999,0.16,0.0006,284.0,0.19,0.02,26.0,0.01,253.0,371.0,0.015,0.94,Dairy
Chocolate milk,83.0,3400.0,2100.0,990.0,120.0,10000.0,9500.0,3200.0,800.0,12.0,60.0,0.0294,0.04,0.005,0.00033,0.16,0.1299999999999999,0.3,0.04,0.9,0.0013,0.0699999999999999,0.0003,112.0,0.24,0.0699999999999999,13.0,0.08,101.0,167.0,0.0019,0.41,Dairy
Hot chocolate,77.0,2300.0,1400.0,680.0,80.0,11000.0,9700.0,3500.0,1000.0,8.0,44.0,0.0527999999999999,0.04,0.005,0.00049,0.18,0.1299999999999999,0.33,0.04,0.2,0.0011,0.03,0.0001999999999999,114.0,0.42,0.1,23.0,0.01,105.0,197.0,0.0027,0.63,Dairy
Goat milk,69.0,4100.0,2700.0,1100.0,150.0,4500.0,4500.0,3600.0,0.0,11.0,50.0,0.0593999999999999,0.05,0.001,7.000000000000001e-05,0.1399999999999999,0.2799999999999999,0.31,0.05,1.3,0.0013,0.0699999999999999,0.0003,134.0,0.05,0.05,14.0,0.02,111.0,204.0,0.0014,0.3,Dairy
Milkshake,112.0,3000.0,1900.0,880.0,110.0,18000.0,18000.0,3900.0,0.0,12.0,95.0,0.0272999999999999,0.03,0.007,0.00052,0.2,0.15,0.37,0.04,0.0,0.0012,0.05,0.0001999999999999,146.0,0.1,0.05,12.0,0.01,115.0,183.0,0.0023,0.39,Dairy
Whey,27.0,360.0,230.0,100.0,10.0,5100.0,5100.0,850.0,0.0,2.0,54.0,0.0036,0.04,0.001,0.00028,0.16,0.0699999999999999,0.38,0.03,0.1,0.0,0.0,0.0,47.0,0.06,0.0,8.0,0.0,46.0,161.0,0.0019,0.1299999999999999,Dairy
Egg white,52.0,170.0,0.0,0.0,0.0,730.0,710.0,11000.0,0.0,0.0,166.0,0.0,0.0,0.004,8.999999999999999e-05,0.44,0.11,0.19,0.01,0.0,0.0,0.0,0.0,7.0,0.08,0.02,11.0,0.01,15.0,163.0,0.02,0.03,Dairy
Yolk,322.0,27000.0,9600.0,12000.0,4200.0,3600.0,560.0,16000.0,0.0,1085.0,48.0,0.4326,0.18,0.146,0.002,0.53,0.02,3.0,0.35,0.0,0.0054,2.6,0.0007,129.0,2.7,0.08,5.0,0.06,390.0,109.0,0.056,2.3,Dairy
Egg,155.0,11000.0,3300.0,4100.0,1400.0,1100.0,1100.0,13000.0,0.0,373.0,124.0,0.156,0.0699999999999999,0.044,0.0011,0.51,0.06,1.4,0.12,0.0,0.0022,1.0,0.0003,50.0,1.2,2.0,10.0,0.03,172.0,126.0,0.031,1.1,Dairy
Omelette,154.0,12000.0,3300.0,4800.0,2700.0,640.0,310.0,11000.0,0.0,313.0,155.0,0.1851,0.03,0.039,0.00076,0.39,0.06,1.3,0.1399999999999999,0.0,0.0017,1.3,0.0045,48.0,1.5,0.06,11.0,0.02,167.0,117.0,0.026,1.1,Dairy
Duck egg,185.0,14000.0,3700.0,6500.0,1200.0,1500.0,930.0,13000.0,0.0,884.0,146.0,0.2022,0.16,0.08,0.0054,0.4,0.2,1.9,0.25,0.0,0.0017,1.3,0.0003999999999999,64.0,3.9,0.06,17.0,0.04,220.0,222.0,0.036,1.4,Dairy
Goose egg,185.0,13000.0,3600.0,5700.0,1700.0,1400.0,940.0,14000.0,0.0,852.0,138.0,0.1949999999999999,0.15,0.076,0.0051,0.38,0.19,1.8,0.24,0.0,0.0017,1.3,0.0003999999999999,60.0,3.6,0.06,16.0,0.04,208.0,210.0,0.037,1.3,Dairy
Quail egg,158.0,11000.0,3600.0,4300.0,1300.0,410.0,400.0,13000.0,0.0,844.0,141.0,0.1629,0.1299999999999999,0.066,0.0015999999999999,0.79,0.15,1.8,0.15,0.0,0.0014,1.1,0.0003,64.0,3.7,0.06,13.0,0.04,226.0,132.0,0.032,1.5,Dairy
Turkey egg,171.0,12000.0,3600.0,4600.0,1700.0,1200.0,0.0,14000.0,0.0,933.0,151.0,0.1662,0.11,0.071,0.0017,0.47,0.02,1.9,0.1299999999999999,0.0,0.0,0.0,0.0,99.0,4.1000000000000005,0.06,13.0,0.04,170.0,142.0,0.034,1.6,Dairy
Butter,717.0,81000.0,50000.0,23000.0,3000.0,60.0,60.0,850.0,0.0,215.0,11.0,0.7496999999999999,0.01,0.003,0.0001699999999999,0.03,0.04,0.11,0.0,0.0,0.0,2.3,0.007,24.0,0.02,0.02,2.0,0.0,24.0,24.0,0.001,0.09,Dairy
Goat cheese,364.0,30000.0,21000.0,6800.0,710.0,120.0,120.0,22000.0,0.0,79.0,415.0,0.4392,0.0699999999999999,0.002,0.00022,0.68,1.1,0.19,0.06,0.0,0.0005,0.2599999999999999,0.0025,298.0,1.6,0.5599999999999999,29.0,0.09,375.0,158.0,0.0038,0.66,Dairy
